,TUCASEID,start_minute,stop_minute,TUTIER1CODE,TUACTIVITY_N
151,20170101170520,240,360,18,1
152,20170101170520,360,365,2,2
153,20170101170520,365,370,2,3
154,20170101170520,370,375,11,4
155,20170101170520,375,450,12,5
156,20170101170520,450,451,2,6
157,20170101170520,451,466,2,7
158,20170101170520,466,491,1,8
159,20170101170520,491,600,2,9
160,20170101170520,600,625,1,10
161,20170101170520,625,750,2,11
162,20170101170520,750,780,11,12
163,20170101170520,780,800,18,13
164,20170101170520,800,805,1,14
165,20170101170520,805,820,2,15
166,20170101170520,820,830,2,16
167,20170101170520,830,850,3,17
168,20170101170520,850,855,1,18
169,20170101170520,855,865,12,19
170,20170101170520,865,870,1,20
171,20170101170520,870,875,4,21
172,20170101170520,875,885,1,22
173,20170101170520,885,890,2,23
174,20170101170520,890,900,4,24
175,20170101170520,900,910,1,25
176,20170101170520,910,935,2,26
177,20170101170520,935,950,1,27
178,20170101170520,950,1020,12,28
179,20170101170520,1020,1040,2,29
180,20170101170520,1040,1055,11,30
181,20170101170520,1055,1200,12,31
182,20170101170520,1200,1230,18,32
183,20170101170520,1230,1255,1,33
184,20170101170520,1255,1345,5,34
185,20170101170520,1345,1370,1,35
186,20170101170520,1370,330,18,36
187,20170101170521,240,450,18,1
188,20170101170521,450,455,2,2
189,20170101170521,455,457,2,3
190,20170101170521,457,477,18,4
191,20170101170521,477,507,12,5
192,20170101170521,507,517,11,6
193,20170101170521,517,555,12,7
194,20170101170521,555,600,2,8
195,20170101170521,600,660,2,9
196,20170101170521,660,665,1,10
197,20170101170521,665,685,8,11
198,20170101170521,685,690,1,12
199,20170101170521,690,720,2,13
200,20170101170521,720,740,16,14
201,20170101170521,740,770,12,15
202,20170101170521,770,785,11,16
203,20170101170521,785,800,2,17
204,20170101170521,800,805,1,18
205,20170101170521,805,825,7,19
206,20170101170521,825,827,1,20
207,20170101170521,827,832,2,21
208,20170101170521,832,837,1,22
209,20170101170521,837,852,2,23
210,20170101170521,852,867,2,24
211,20170101170521,867,897,12,25
212,20170101170521,897,900,2,26
213,20170101170521,900,1020,12,27
214,20170101170521,1020,1045,2,28
215,20170101170521,1045,1065,12,29
216,20170101170521,1065,1080,16,30
217,20170101170521,1080,1120,2,31
218,20170101170521,1120,1150,11,32
219,20170101170521,1150,1165,2,33
220,20170101170521,1165,1195,2,34
221,20170101170521,1195,1245,12,35
222,20170101170521,1245,1260,2,36
223,20170101170521,1260,1380,12,37
224,20170101170521,1380,1395,18,38
225,20170101170521,1395,1410,12,39
226,20170101170521,1410,450,18,40
251,20170101170539,240,480,18,1
252,20170101170539,480,490,3,2
253,20170101170539,490,510,2,3
254,20170101170539,510,525,11,4
255,20170101170539,525,585,12,5
256,20170101170539,585,645,16,6
257,20170101170539,645,750,12,7
258,20170101170539,750,760,2,8
259,20170101170539,760,770,11,9
260,20170101170539,770,800,12,10
261,20170101170539,800,815,3,11
262,20170101170539,815,905,18,12
263,20170101170539,905,915,3,13
264,20170101170539,915,990,5,14
265,20170101170539,990,1020,18,15
266,20170101170539,1020,1035,1,16
267,20170101170539,1035,1040,4,17
268,20170101170539,1040,1055,1,18
269,20170101170539,1055,1155,12,19
270,20170101170539,1155,1195,1,20
