,TUCASEID,start_minute,stop_minute,TUTIER1CODE,TUACTIVITY_N
0,20170101170002,240,330,1,1
1,20170101170002,330,360,1,2
2,20170101170002,360,375,18,3
3,20170101170002,375,390,5,4
4,20170101170002,390,540,5,5
5,20170101170002,540,570,11,6
6,20170101170002,570,870,5,7
7,20170101170002,870,900,12,8
8,20170101170002,900,915,18,9
9,20170101170002,915,918,3,10
10,20170101170002,918,921,18,11
11,20170101170002,921,966,2,12
12,20170101170002,966,996,11,13
13,20170101170002,996,1006,2,14
14,20170101170002,1006,1021,1,15
15,20170101170002,1021,1035,12,16
16,20170101170002,1035,0,1,17
17,20170101170002,0,7,1,18
18,20170101170002,7,330,1,19
19,20170101170012,240,420,1,1
20,20170101170012,420,480,2,2
21,20170101170012,480,525,11,3
22,20170101170012,525,555,1,4
23,20170101170012,555,585,3,5
24,20170101170012,585,595,18,6
25,20170101170012,595,625,7,7
26,20170101170012,625,635,18,8
27,20170101170012,635,640,2,9
28,20170101170012,640,641,18,10
29,20170101170012,641,761,2,11
30,20170101170012,761,791,2,12
31,20170101170012,791,870,12,13
32,20170101170012,870,900,2,14
33,20170101170012,900,960,3,15
34,20170101170012,960,961,18,16
35,20170101170012,961,966,18,17
36,20170101170012,966,1011,2,18
37,20170101170012,1011,1021,1,19
38,20170101170012,1021,1081,2,20
39,20170101170012,1081,1140,11,21
40,20170101170012,1140,1170,2,22
41,20170101170012,1170,1230,3,23
42,20170101170012,1230,1290,12,24
43,20170101170012,1290,1300,3,25
44,20170101170012,1300,30,12,26
45,20170101170012,30,35,3,27
46,20170101170012,35,360,1,28
47,20170101170027,240,360,1,1
48,20170101170027,360,385,1,2
49,20170101170027,385,400,2,3
50,20170101170027,400,402,18,4
51,20170101170027,402,422,11,5
52,20170101170027,422,427,18,6
53,20170101170027,427,705,6,7
54,20170101170027,705,710,18,8
55,20170101170027,710,750,11,9
56,20170101170027,750,752,18,10
57,20170101170027,752,935,6,11
58,20170101170027,935,940,18,12
59,20170101170027,940,1000,6,13
60,20170101170027,1000,1090,1,14
61,20170101170027,1090,1095,18,15
62,20170101170027,1095,1155,11,16
63,20170101170027,1155,1160,18,17
64,20170101170027,1160,1250,12,18
65,20170101170027,1250,1260,12,19
66,20170101170027,1260,1280,1,20
67,20170101170027,1280,1320,12,21
68,20170101170027,1320,360,1,22
69,20170101170030,240,360,1,1
70,20170101170030,360,405,1,2
71,20170101170030,405,410,2,3
72,20170101170030,410,430,18,4
73,20170101170030,430,465,18,5
74,20170101170030,465,480,12,6
75,20170101170030,480,720,5,7
76,20170101170030,720,780,11,8
77,20170101170030,780,1020,5,9
78,20170101170030,1020,1065,18,10
79,20170101170030,1065,1070,2,11
80,20170101170030,1070,1080,2,12
81,20170101170030,1080,1200,12,13
82,20170101170030,1200,1205,2,14
83,20170101170030,1205,1230,11,15
84,20170101170030,1230,1260,1,16
85,20170101170030,1260,1270,2,17
86,20170101170030,1270,1275,2,18
87,20170101170030,1275,330,1,19
88,20170101170033,240,540,1,1
89,20170101170033,540,780,13,2
90,20170101170033,780,795,11,3
91,20170101170033,795,805,13,4
92,20170101170033,805,808,2,5
93,20170101170033,808,823,18,6
94,20170101170033,823,838,1,7
95,20170101170033,838,958,12,8
96,20170101170033,958,963,18,9
97,20170101170033,963,968,7,10
98,20170101170033,968,973,18,11
99,20170101170033,973,984,11,12
100,20170101170033,984,1284,1,13
101,20170101170033,1284,1309,2,14
102,20170101170033,1309,1339,11,15
103,20170101170033,1339,19,12,16
104,20170101170033,19,24,1,17
105,20170101170033,24,84,12,18
106,20170101170033,84,480,1,19
107,20170101170079,240,480,1,1
108,20170101170079,480,600,13,2
109,20170101170079,600,640,1,3
110,20170101170079,640,665,2,4
111,20170101170079,665,685,11,5
112,20170101170079,685,730,18,6
113,20170101170079,730,1050,13,7
114,20170101170079,1050,1095,18,8
115,20170101170079,1095,1125,1,9
116,20170101170079,1125,1155,18,10
117,20170101170079,1155,1305,11,11
118,20170101170079,1305,1335,18,12
119,20170101170079,1335,480,1,13
120,20170101170090,240,345,18,1
121,20170101170090,345,840,5,2
122,20170101170090,840,945,18,3
123,20170101170090,945,970,11,4
124,20170101170090,970,1210,12,5
125,20170101170090,1210,1215,1,6
126,20170101170090,1215,1275,1,7
127,20170101170090,1275,180,1,8
128,20170101170090,180,195,2,9
129,20170101170090,195,196,2,10
130,20170101170090,196,210,1,11
131,20170101170090,210,315,18,12
132,20170101170149,240,330,1,1
133,20170101170149,330,360,1,2
134,20170101170149,360,400,3,3
135,20170101170149,400,407,18,4
136,20170101170149,407,409,3,5
137,20170101170149,409,424,18,6
138,20170101170149,424,426,3,7
139,20170101170149,426,431,18,8
140,20170101170149,431,434,7,9
141,20170101170149,434,554,5,10
142,20170101170149,554,574,18,11
143,20170101170149,574,694,15,12
144,20170101170149,694,1020,5,13
145,20170101170149,1020,1040,18,14
146,20170101170149,1040,1170,3,15
147,20170101170149,1170,1190,18,16
148,20170101170149,1190,1250,11,17
149,20170101170149,1250,1380,12,18
150,20170101170149,1380,338,1,19
151,20170101170520,240,360,1,1
152,20170101170520,360,365,2,2
153,20170101170520,365,370,2,3
154,20170101170520,370,375,11,4
155,20170101170520,375,450,12,5
156,20170101170520,450,451,2,6
157,20170101170520,451,466,2,7
158,20170101170520,466,491,18,8
159,20170101170520,491,600,2,9
160,20170101170520,600,625,18,10
161,20170101170520,625,750,2,11
162,20170101170520,750,780,11,12
163,20170101170520,780,800,1,13
164,20170101170520,800,805,18,14
165,20170101170520,805,820,2,15
166,20170101170520,820,830,2,16
167,20170101170520,830,850,3,17
168,20170101170520,850,855,18,18
169,20170101170520,855,865,12,19
170,20170101170520,865,870,18,20
171,20170101170520,870,875,4,21
172,20170101170520,875,885,18,22
173,20170101170520,885,890,2,23
174,20170101170520,890,900,4,24
175,20170101170520,900,910,18,25
176,20170101170520,910,935,2,26
177,20170101170520,935,950,18,27
178,20170101170520,950,1020,12,28
179,20170101170520,1020,1040,2,29
180,20170101170520,1040,1055,11,30
181,20170101170520,1055,1200,12,31
182,20170101170520,1200,1230,1,32
183,20170101170520,1230,1255,18,33
184,20170101170520,1255,1345,5,34
185,20170101170520,1345,1370,18,35
186,20170101170520,1370,330,1,36
187,20170101170521,240,450,1,1
188,20170101170521,450,455,2,2
189,20170101170521,455,457,2,3
190,20170101170521,457,477,1,4
191,20170101170521,477,507,12,5
192,20170101170521,507,517,11,6
193,20170101170521,517,555,12,7
194,20170101170521,555,600,2,8
195,20170101170521,600,660,2,9
196,20170101170521,660,665,18,10
197,20170101170521,665,685,8,11
198,20170101170521,685,690,18,12
199,20170101170521,690,720,2,13
200,20170101170521,720,740,16,14
201,20170101170521,740,770,12,15
202,20170101170521,770,785,11,16
203,20170101170521,785,800,2,17
204,20170101170521,800,805,18,18
205,20170101170521,805,825,7,19
206,20170101170521,825,827,18,20
207,20170101170521,827,832,2,21
208,20170101170521,832,837,18,22
209,20170101170521,837,852,2,23
210,20170101170521,852,867,2,24
211,20170101170521,867,897,12,25
212,20170101170521,897,900,2,26
213,20170101170521,900,1020,12,27
214,20170101170521,1020,1045,2,28
215,20170101170521,1045,1065,12,29
216,20170101170521,1065,1080,16,30
217,20170101170521,1080,1120,2,31
218,20170101170521,1120,1150,11,32
219,20170101170521,1150,1165,2,33
220,20170101170521,1165,1195,2,34
221,20170101170521,1195,1245,12,35
222,20170101170521,1245,1260,2,36
223,20170101170521,1260,1380,12,37
224,20170101170521,1380,1395,1,38
225,20170101170521,1395,1410,12,39
226,20170101170521,1410,450,1,40
227,20170101170522,240,540,1,1
228,20170101170522,540,575,1,2
229,20170101170522,575,595,11,3
230,20170101170522,595,600,2,4
231,20170101170522,600,605,1,5
232,20170101170522,605,615,2,6
233,20170101170522,615,630,18,7
234,20170101170522,630,635,7,8
235,20170101170522,635,650,18,9
236,20170101170522,650,950,5,10
237,20170101170522,950,965,11,11
238,20170101170522,965,1140,5,12
239,20170101170522,1140,1155,18,13
240,20170101170522,1155,1165,1,14
241,20170101170522,1165,1195,18,15
242,20170101170522,1195,1350,12,16
243,20170101170522,1350,1380,18,17
244,20170101170522,1380,1390,2,18
245,20170101170522,1390,1400,11,19
246,20170101170522,1400,1410,2,20
247,20170101170522,1410,1412,1,21
248,20170101170522,1412,2,12,22
249,20170101170522,2,62,12,23
250,20170101170522,62,540,1,24
251,20170101170539,240,480,1,1
252,20170101170539,480,490,3,2
253,20170101170539,490,510,2,3
254,20170101170539,510,525,11,4
255,20170101170539,525,585,12,5
256,20170101170539,585,645,16,6
257,20170101170539,645,750,12,7
258,20170101170539,750,760,2,8
259,20170101170539,760,770,11,9
260,20170101170539,770,800,12,10
261,20170101170539,800,815,3,11
262,20170101170539,815,905,1,12
263,20170101170539,905,915,3,13
264,20170101170539,915,990,5,14
265,20170101170539,990,1020,1,15
266,20170101170539,1020,1035,18,16
267,20170101170539,1035,1040,4,17
268,20170101170539,1040,1055,18,18
269,20170101170539,1055,1155,12,19
270,20170101170539,1155,1195,18,20
271,20170101170539,1195,1215,7,21
272,20170101170539,1215,1217,18,22
273,20170101170539,1217,1237,7,23
274,20170101170539,1237,1257,18,24
275,20170101170539,1257,1297,11,25
276,20170101170539,1297,1317,18,26
277,20170101170539,1317,1347,7,27
278,20170101170539,1347,1377,18,28
279,20170101170539,1377,1397,12,29
280,20170101170539,1397,1417,18,30
281,20170101170539,1417,1427,4,31
282,20170101170539,1427,7,18,32
283,20170101170539,7,120,12,33
284,20170101170539,120,600,1,34
285,20170101170551,240,450,1,1
286,20170101170551,450,510,11,2
287,20170101170551,510,630,2,3
288,20170101170551,630,635,18,4
289,20170101170551,635,665,13,5
290,20170101170551,665,695,13,6
291,20170101170551,695,715,13,7
292,20170101170551,715,730,18,8
293,20170101170551,730,740,7,9
294,20170101170551,740,745,18,10
295,20170101170551,745,755,7,11
296,20170101170551,755,765,18,12
297,20170101170551,765,780,7,13
298,20170101170551,780,795,18,14
299,20170101170551,795,800,7,15
300,20170101170551,800,810,18,16
301,20170101170551,810,840,11,17
302,20170101170551,840,960,15,18
303,20170101170551,960,1020,12,19
304,20170101170551,1020,1050,2,20
305,20170101170551,1050,1110,12,21
306,20170101170551,1110,1155,2,22
307,20170101170551,1155,1200,11,23
308,20170101170551,1200,1260,12,24
309,20170101170551,1260,1380,12,25
310,20170101170551,1380,1410,1,26
311,20170101170551,1410,450,1,27
312,20170101170552,240,420,1,1
313,20170101170552,420,465,2,2
314,20170101170552,465,475,2,3
315,20170101170552,475,515,2,4
316,20170101170552,515,545,2,5
317,20170101170552,545,585,2,6
318,20170101170552,585,690,50,7
319,20170101170552,690,720,18,8
320,20170101170552,720,960,5,9
321,20170101170552,960,990,18,10
322,20170101170552,990,1020,2,11
323,20170101170552,1020,1035,2,12
324,20170101170552,1035,1065,11,13
325,20170101170552,1065,1080,18,14
326,20170101170552,1080,1155,12,15
327,20170101170552,1155,1165,18,16
328,20170101170552,1165,1195,12,17
329,20170101170552,1195,1205,18,18
330,20170101170552,1205,1260,12,19
331,20170101170552,1260,1270,18,20
332,20170101170552,1270,1305,12,21
333,20170101170552,1305,1320,1,22
334,20170101170552,1320,360,1,23
335,20170101170572,240,330,1,1
336,20170101170572,330,390,11,2
337,20170101170572,390,630,12,3
338,20170101170572,630,675,1,4
339,20170101170572,675,690,1,5
340,20170101170572,690,705,18,6
341,20170101170572,705,840,5,7
342,20170101170572,840,855,12,8
343,20170101170572,855,990,5,9
344,20170101170572,990,1010,11,10
345,20170101170572,1010,1050,12,11
346,20170101170572,1050,1260,5,12
347,20170101170572,1260,1275,18,13
348,20170101170572,1275,1365,12,14
349,20170101170572,1365,330,1,15
350,20170101170574,240,450,1,1
351,20170101170574,450,465,2,2
352,20170101170574,465,485,11,3
353,20170101170574,485,505,2,4
354,20170101170574,505,545,2,5
355,20170101170574,545,605,12,6
356,20170101170574,605,625,18,7
357,20170101170574,625,705,7,8
358,20170101170574,705,725,18,9
359,20170101170574,725,815,5,10
360,20170101170574,815,900,50,11
361,20170101170574,900,1020,12,12
362,20170101170574,1020,1065,1,13
363,20170101170574,1065,1095,2,14
364,20170101170574,1095,1125,11,15
365,20170101170574,1125,1145,18,16
366,20170101170574,1145,1305,15,17
367,20170101170574,1305,1325,18,18
368,20170101170574,1325,1340,1,19
369,20170101170574,1340,340,1,20
370,20170101170578,240,660,1,1
371,20170101170578,660,690,2,2
372,20170101170578,690,930,12,3
373,20170101170578,930,935,18,4
374,20170101170578,935,945,7,5
375,20170101170578,945,950,18,6
376,20170101170578,950,990,2,7
377,20170101170578,990,1050,11,8
378,20170101170578,1050,1170,12,9
379,20170101170578,1170,1260,12,10
380,20170101170578,1260,1380,12,11
381,20170101170578,1380,720,1,12
382,20170101170595,240,360,1,1
383,20170101170595,360,370,2,2
384,20170101170595,370,385,2,3
385,20170101170595,385,387,2,4
386,20170101170595,387,392,2,5
387,20170101170595,392,512,18,6
388,20170101170595,512,557,2,7
389,20170101170595,557,577,1,8
390,20170101170595,577,587,11,9
391,20170101170595,587,597,18,10
392,20170101170595,597,602,3,11
393,20170101170595,602,607,18,12
394,20170101170595,607,617,12,13
395,20170101170595,617,627,18,14
396,20170101170595,627,632,12,15
397,20170101170595,632,637,7,16
398,20170101170595,637,642,18,17
399,20170101170595,642,657,2,18
400,20170101170595,657,677,18,19
401,20170101170595,677,810,7,20
